ID Usuario,Sexo,Idade,Salario Estimado,Compraria Produto?
15624510,Masculino,19,19000,Nao
15810944,Masculino,35,20000,Nao
15668575,Feminino,26,43000,Nao
15603246,Feminino,27,57000,Nao
15804002,Masculino,19,76000,Nao
15728773,Masculino,27,58000,Nao
15598044,Feminino,27,84000,Nao
15694829,Feminino,32,150000,Sim
15600575,Masculino,25,33000,Nao
15727311,Feminino,35,65000,Nao
15570769,Feminino,26,80000,Nao
15606274,Feminino,26,52000,Nao
15746139,Masculino,20,86000,Nao
15704987,Masculino,32,18000,Nao
15628972,Masculino,18,82000,Nao
15697686,Masculino,29,80000,Nao
15733883,Masculino,47,25000,Sim
15617482,Masculino,45,26000,Sim
15704583,Masculino,46,28000,Sim
15621083,Feminino,48,29000,Sim
15649487,Masculino,45,22000,Sim
15736760,Feminino,47,49000,Sim
15714658,Masculino,48,41000,Sim
15599081,Feminino,45,22000,Sim
15705113,Masculino,46,23000,Sim
15631159,Masculino,47,20000,Sim
15792818,Masculino,49,28000,Sim
15633531,Feminino,47,30000,Sim
15744529,Masculino,29,43000,Nao
15669656,Masculino,31,18000,Nao
15581198,Masculino,31,74000,Nao
15729054,Feminino,27,137000,Sim
15573452,Feminino,21,16000,Nao
15776733,Feminino,28,44000,Nao
15724858,Masculino,27,90000,Nao
15713144,Masculino,35,27000,Nao
15690188,Feminino,33,28000,Nao
15689425,Masculino,30,49000,Nao
15671766,Feminino,26,72000,Nao
15782806,Feminino,27,31000,Nao
15764419,Feminino,27,17000,Nao
15591915,Feminino,33,51000,Nao
15772798,Masculino,35,108000,Nao
15792008,Masculino,30,15000,Nao
15715541,Feminino,28,84000,Nao
15639277,Masculino,23,20000,Nao
15798850,Masculino,25,79000,Nao
15776348,Feminino,27,54000,Nao
15727696,Masculino,30,135000,Sim
15793813,Feminino,31,89000,Nao
15694395,Feminino,24,32000,Nao
15764195,Feminino,18,44000,Nao
15744919,Feminino,29,83000,Nao
15671655,Feminino,35,23000,Nao
15654901,Feminino,27,58000,Nao
15649136,Feminino,24,55000,Nao
15775562,Feminino,23,48000,Nao
15807481,Masculino,28,79000,Nao
15642885,Masculino,22,18000,Nao
15789109,Feminino,32,117000,Nao
15814004,Masculino,27,20000,Nao
15673619,Masculino,25,87000,Nao
15595135,Feminino,23,66000,Nao
15583681,Masculino,32,120000,Sim
15605000,Feminino,59,83000,Nao
15718071,Masculino,24,58000,Nao
15679760,Masculino,24,19000,Nao
15654574,Feminino,23,82000,Nao
15577178,Feminino,22,63000,Nao
15595324,Feminino,31,68000,Nao
15756932,Masculino,25,80000,Nao
15726358,Feminino,24,27000,Nao
15595228,Feminino,20,23000,Nao
15782530,Feminino,33,113000,Nao
15592877,Masculino,32,18000,Nao
15651983,Masculino,34,112000,Sim
15746737,Masculino,18,52000,Nao
15774179,Feminino,22,27000,Nao
15667265,Feminino,28,87000,Nao
15655123,Feminino,26,17000,Nao
15595917,Masculino,30,80000,Nao
15668385,Masculino,39,42000,Nao
15709476,Masculino,20,49000,Nao
15711218,Masculino,35,88000,Nao
15798659,Feminino,30,62000,Nao
15663939,Feminino,31,118000,Sim
15694946,Masculino,24,55000,Nao
15631912,Feminino,28,85000,Nao
15768816,Masculino,26,81000,Nao
15682268,Masculino,35,50000,Nao
15684801,Masculino,22,81000,Nao
15636428,Feminino,30,116000,Nao
15809823,Masculino,26,15000,Nao
15699284,Feminino,29,28000,Nao
15786993,Feminino,29,83000,Nao
15709441,Feminino,35,44000,Nao
15710257,Feminino,35,25000,Nao
15582492,Masculino,28,123000,Sim
15575694,Masculino,35,73000,Nao
15756820,Feminino,28,37000,Nao
15766289,Masculino,27,88000,Nao
15593014,Masculino,28,59000,Nao
15584545,Feminino,32,86000,Nao
15675949,Feminino,33,149000,Sim
15672091,Feminino,19,21000,Nao
15801658,Masculino,21,72000,Nao
15706185,Feminino,26,35000,Nao
15789863,Masculino,27,89000,Nao
15720943,Masculino,26,86000,Nao
15697997,Feminino,38,80000,Nao
15665416,Feminino,39,71000,Nao
15660200,Feminino,37,71000,Nao
15619653,Masculino,38,61000,Nao
15773447,Masculino,37,55000,Nao
15739160,Masculino,42,80000,Nao
15689237,Masculino,40,57000,Nao
15679297,Masculino,35,75000,Nao
15591433,Masculino,36,52000,Nao
15642725,Masculino,40,59000,Nao
15701962,Masculino,41,59000,Nao
15811613,Feminino,36,75000,Nao
15741049,Masculino,37,72000,Nao
15724423,Feminino,40,75000,Nao
15574305,Masculino,35,53000,Nao
15678168,Feminino,41,51000,Nao
15697020,Feminino,39,61000,Nao
15610801,Masculino,42,65000,Nao
15745232,Masculino,26,32000,Nao
15722758,Masculino,30,17000,Nao
15792102,Feminino,26,84000,Nao
15675185,Masculino,31,58000,Nao
15801247,Masculino,33,31000,Nao
15725660,Masculino,30,87000,Nao
15638963,Feminino,21,68000,Nao
15800061,Feminino,28,55000,Nao
15578006,Masculino,23,63000,Nao
15668504,Feminino,20,82000,Nao
15687491,Masculino,30,107000,Sim
15610403,Feminino,28,59000,Nao
15741094,Masculino,19,25000,Nao
15807909,Masculino,19,85000,Nao
15666141,Feminino,18,68000,Nao
15617134,Masculino,35,59000,Nao
15783029,Masculino,30,89000,Nao
15622833,Feminino,34,25000,Nao
15746422,Feminino,24,89000,Nao
15750839,Feminino,27,96000,Sim
15749130,Feminino,41,30000,Nao
15779862,Masculino,29,61000,Nao
15767871,Masculino,20,74000,Nao
15679651,Feminino,26,15000,Nao
15576219,Masculino,41,45000,Nao
15699247,Masculino,31,76000,Nao
15619087,Feminino,36,50000,Nao
15605327,Masculino,40,47000,Nao
15610140,Feminino,31,15000,Nao
15791174,Masculino,46,59000,Nao
15602373,Masculino,29,75000,Nao
15762605,Masculino,26,30000,Nao
15598840,Feminino,32,135000,Sim
15744279,Masculino,32,100000,Sim
15670619,Masculino,25,90000,Nao
15599533,Feminino,37,33000,Nao
15757837,Masculino,35,38000,Nao
15697574,Feminino,33,69000,Nao
15578738,Feminino,18,86000,Nao
15762228,Feminino,22,55000,Nao
15614827,Feminino,35,71000,Nao
15789815,Masculino,29,148000,Sim
15579781,Feminino,29,47000,Nao
15587013,Masculino,21,88000,Nao
15570932,Masculino,34,115000,Nao
15794661,Feminino,26,118000,Nao
15581654,Feminino,34,43000,Nao
15644296,Feminino,34,72000,Nao
15614420,Feminino,23,28000,Nao
15609653,Feminino,35,47000,Nao
15594577,Masculino,25,22000,Nao
15584114,Masculino,24,23000,Nao
15673367,Feminino,31,34000,Nao
15685576,Masculino,26,16000,Nao
15774727,Feminino,31,71000,Nao
15694288,Feminino,32,117000,Sim
15603319,Masculino,33,43000,Nao
15759066,Feminino,33,60000,Nao
15814816,Masculino,31,66000,Nao
15724402,Feminino,20,82000,Nao
15571059,Feminino,33,41000,Nao
15674206,Masculino,35,72000,Nao
15715160,Masculino,28,32000,Nao
15730448,Masculino,24,84000,Nao
15662067,Feminino,19,26000,Nao
15779581,Masculino,29,43000,Nao
15662901,Masculino,19,70000,Nao
15689751,Masculino,28,89000,Nao
15667742,Masculino,34,43000,Nao
15738448,Feminino,30,79000,Nao
15680243,Feminino,20,36000,Nao
15745083,Masculino,26,80000,Nao
15708228,Masculino,35,22000,Nao
15628523,Masculino,35,39000,Nao
15708196,Masculino,49,74000,Nao
15735549,Feminino,39,134000,Sim
15809347,Feminino,41,71000,Nao
15660866,Feminino,58,101000,Sim
15766609,Feminino,47,47000,Nao
15654230,Feminino,55,130000,Sim
15794566,Feminino,52,114000,Nao
15800890,Feminino,40,142000,Sim
15697424,Feminino,46,22000,Nao
15724536,Feminino,48,96000,Sim
15735878,Masculino,52,150000,Sim
15707596,Feminino,59,42000,Nao
15657163,Masculino,35,58000,Nao
15622478,Masculino,47,43000,Nao
15779529,Feminino,60,108000,Sim
15636023,Masculino,49,65000,Nao
15582066,Masculino,40,78000,Nao
15666675,Feminino,46,96000,Nao
15732987,Masculino,59,143000,Sim
15789432,Feminino,41,80000,Nao
15663161,Masculino,35,91000,Sim
15694879,Masculino,37,144000,Sim
15593715,Masculino,60,102000,Sim
15575002,Feminino,35,60000,Nao
15622171,Masculino,37,53000,Nao
15795224,Feminino,36,126000,Sim
15685346,Masculino,56,133000,Sim
15691808,Feminino,40,72000,Nao
15721007,Feminino,42,80000,Sim
15794253,Feminino,35,147000,Sim
15694453,Masculino,39,42000,Nao
15813113,Masculino,40,107000,Sim
15614187,Masculino,49,86000,Sim
15619407,Feminino,38,112000,Nao
15646227,Masculino,46,79000,Sim
15660541,Masculino,40,57000,Nao
15753874,Feminino,37,80000,Nao
15617877,Feminino,46,82000,Nao
15772073,Feminino,53,143000,Sim
15701537,Masculino,42,149000,Sim
15736228,Masculino,38,59000,Nao
15780572,Feminino,50,88000,Sim
15769596,Feminino,56,104000,Sim
15586996,Feminino,41,72000,Nao
15722061,Feminino,51,146000,Sim
15638003,Feminino,35,50000,Nao
15775590,Feminino,57,122000,Sim
15730688,Masculino,41,52000,Nao
15753102,Feminino,35,97000,Sim
15810075,Feminino,44,39000,Nao
15723373,Masculino,37,52000,Nao
15795298,Feminino,48,134000,Sim
15584320,Feminino,37,146000,Sim
15724161,Feminino,50,44000,Nao
15750056,Feminino,52,90000,Sim
15609637,Feminino,41,72000,Nao
15794493,Masculino,40,57000,Nao
15569641,Feminino,58,95000,Sim
15815236,Feminino,45,131000,Sim
15811177,Feminino,35,77000,Nao
15680587,Masculino,36,144000,Sim
15672821,Feminino,55,125000,Sim
15767681,Feminino,35,72000,Nao
15600379,Masculino,48,90000,Sim
15801336,Feminino,42,108000,Sim
15721592,Masculino,40,75000,Nao
15581282,Masculino,37,74000,Nao
15746203,Feminino,47,144000,Sim
15583137,Masculino,40,61000,Nao
15680752,Feminino,43,133000,Nao
15688172,Feminino,59,76000,Sim
15791373,Masculino,60,42000,Sim
15589449,Masculino,39,106000,Sim
15692819,Feminino,57,26000,Sim
15727467,Masculino,57,74000,Sim
15734312,Masculino,38,71000,Nao
15764604,Masculino,49,88000,Sim
15613014,Feminino,52,38000,Sim
15759684,Feminino,50,36000,Sim
15609669,Feminino,59,88000,Sim
15685536,Masculino,35,61000,Nao
15750447,Masculino,37,70000,Sim
15663249,Feminino,52,21000,Sim
15638646,Masculino,48,141000,Nao
15734161,Feminino,37,93000,Sim
15631070,Feminino,37,62000,Nao
15761950,Feminino,48,138000,Sim
15649668,Masculino,41,79000,Nao
15713912,Feminino,37,78000,Sim
15586757,Masculino,39,134000,Sim
15596522,Masculino,49,89000,Sim
15625395,Masculino,55,39000,Sim
15760570,Masculino,37,77000,Nao
15566689,Feminino,35,57000,Nao
15725794,Feminino,36,63000,Nao
15673539,Masculino,42,73000,Sim
15705298,Feminino,43,112000,Sim
15675791,Masculino,45,79000,Nao
15747043,Masculino,46,117000,Sim
15736397,Feminino,58,38000,Sim
15678201,Masculino,48,74000,Sim
15720745,Feminino,37,137000,Sim
15637593,Masculino,37,79000,Sim
15598070,Feminino,40,60000,Nao
15787550,Masculino,42,54000,Nao
15603942,Feminino,51,134000,Nao
15733973,Feminino,47,113000,Sim
15596761,Masculino,36,125000,Sim
15652400,Feminino,38,50000,Nao
15717893,Feminino,42,70000,Nao
15622585,Masculino,39,96000,Sim
15733964,Feminino,38,50000,Nao
15753861,Feminino,49,141000,Sim
15747097,Feminino,39,79000,Nao
15594762,Feminino,39,75000,Sim
15667417,Feminino,54,104000,Sim
15684861,Masculino,35,55000,Nao
15742204,Masculino,45,32000,Sim
15623502,Masculino,36,60000,Nao
15774872,Feminino,52,138000,Sim
15611191,Feminino,53,82000,Sim
15674331,Masculino,41,52000,Nao
15619465,Feminino,48,30000,Sim
15575247,Feminino,48,131000,Sim
15695679,Feminino,41,60000,Nao
15713463,Masculino,41,72000,Nao
15785170,Feminino,42,75000,Nao
15796351,Masculino,36,118000,Sim
15639576,Feminino,47,107000,Sim
15693264,Masculino,38,51000,Nao
15589715,Feminino,48,119000,Sim
15769902,Masculino,42,65000,Nao
15587177,Masculino,40,65000,Nao
15814553,Masculino,57,60000,Sim
15601550,Feminino,36,54000,Nao
15664907,Masculino,58,144000,Sim
15612465,Masculino,35,79000,Nao
15810800,Feminino,38,55000,Nao
15665760,Masculino,39,122000,Sim
15588080,Feminino,53,104000,Sim
15776844,Masculino,35,75000,Nao
15717560,Feminino,38,65000,Nao
15629739,Feminino,47,51000,Sim
15729908,Masculino,47,105000,Sim
15716781,Feminino,41,63000,Nao
15646936,Masculino,53,72000,Sim
15768151,Feminino,54,108000,Sim
15579212,Masculino,39,77000,Nao
15721835,Masculino,38,61000,Nao
15800515,Feminino,38,113000,Sim
15591279,Masculino,37,75000,Nao
15587419,Feminino,42,90000,Sim
15750335,Feminino,37,57000,Nao
15699619,Masculino,36,99000,Sim
15606472,Masculino,60,34000,Sim
15778368,Masculino,54,70000,Sim
15671387,Feminino,41,72000,Nao
15573926,Masculino,40,71000,Sim
15709183,Masculino,42,54000,Nao
15577514,Masculino,43,129000,Sim
15778830,Feminino,53,34000,Sim
15768072,Feminino,47,50000,Sim
15768293,Feminino,42,79000,Nao
15654456,Masculino,42,104000,Sim
15807525,Feminino,59,29000,Sim
15574372,Feminino,58,47000,Sim
15671249,Masculino,46,88000,Sim
15779744,Masculino,38,71000,Nao
15624755,Feminino,54,26000,Sim
15611430,Feminino,60,46000,Sim
15774744,Masculino,60,83000,Sim
15629885,Feminino,39,73000,Nao
15708791,Masculino,59,130000,Sim
15793890,Feminino,37,80000,Nao
15646091,Feminino,46,32000,Sim
15596984,Feminino,46,74000,Nao
15800215,Feminino,42,53000,Nao
15577806,Masculino,41,87000,Sim
15749381,Feminino,58,23000,Sim
15683758,Masculino,42,64000,Nao
15670615,Masculino,48,33000,Sim
15715622,Feminino,44,139000,Sim
15707634,Masculino,49,28000,Sim
15806901,Feminino,57,33000,Sim
15775335,Masculino,56,60000,Sim
15724150,Feminino,49,39000,Sim
15627220,Masculino,39,71000,Nao
15672330,Masculino,47,34000,Sim
15668521,Feminino,48,35000,Sim
15807837,Masculino,48,33000,Sim
15592570,Masculino,47,23000,Sim
15748589,Feminino,45,45000,Sim
15635893,Masculino,60,42000,Sim
15757632,Feminino,39,59000,Nao
15691863,Feminino,46,41000,Sim
15706071,Masculino,51,23000,Sim
15654296,Feminino,50,20000,Sim
15755018,Masculino,36,33000,Nao
15594041,Feminino,49,36000,Sim
